縣市,日期,稉種白米零售價格(元/每公斤),硬秈白米零售價格(元/每公斤),軟秈白米零售價格(元/每公斤),圓糯白米零售價格(元/每公斤),長糯白米零售價格(元/每公斤),稉種白米躉售價格(元/每百公斤),硬秈白米躉售價格(元/每百公斤),軟秈白米躉售價格(元/每百公斤),圓糯白米躉售價格(元/每百公斤),長糯白米躉售價格(元/每百公斤),稻穀稉種價格(元/每百公斤),稻穀硬秈價格(元/每百公斤),稻穀軟秈價格(元/每百公斤),稻穀圓糯價格(元/每百公斤),稻穀長糯價格(元/每百公斤)
"台南市  ","114.4.20","45.48","0","47.25","52.78","53.86","3726","3263","3833","4033","3917","2597","0","0","0","0"
"高雄市  ","114.4.20","44.19","0","46.6","52.49","57.44","3699","0","0","4546","5224","2500","0","0","0","0"
"屏東縣  ","114.4.20","40.92","46.02","0","50.4","51.87","3555","4152","0","4083","4089","2666","0","0","0","0"
"宜蘭縣  ","114.4.20","46.44","51.67","48.96","56.92","56.02","3722","0","4292","4750","4625","2259","0","0","0","0"
"花蓮縣  ","114.4.20","49.73","0","0","56.98","58","4417","0","0","5025","5099","2620","0","0","0","0"
"台東縣  ","114.4.20","59.3","0","0","64.87","61.55","4635","0","0","5281","5500","2617","0","0","2820","0"
"澎湖縣  ","114.4.20","44.28","0","0","58.89","58.89","3986","0","0","0","0","0","0","0","0","0"
"基隆市  ","114.4.19","50.48","53.96","0","62.74","60.83","4347","4833","0","5222","5000","0","0","0","0","0"
"台北市  ","114.4.19","52.22","57.62","59.17","64.26","60.37","4380","4531","4804","5278","4968","0","0","0","0","0"
"新北市  ","114.4.19","48.8","53.75","52.41","57.41","55.52","4324","4528","4648","5074","4820","0","0","0","0","0"
"桃園市  ","114.4.19","42.96","47.5","48.33","53.54","49.9","3805","4167","4313","4729","4292","2514","0","0","0","0"
"新竹市  ","114.4.19","45.33","50.83","0","54.67","52.78","4031","4345","0","4691","4400","0","0","0","0","0"
"新竹縣  ","114.4.19","44.58","48","0","53.33","52.33","3952","4217","0","4792","4317","2533","0","0","0","0"
"苗栗縣  ","114.4.19","43.64","0","0","53.48","54.5","3917","0","0","4833","4778","2508","0","0","0","0"
"台中市  ","114.4.19","46.62","52.86","50","55.26","54.22","3988","4400","4603","4826","4607","2532","0","0","0","0"
"彰化縣  ","114.4.19","45","48.39","48.06","51.22","49.39","3910","4178","4295","4645","4225","2643","0","2750","3087","2696"
"南投縣  ","114.4.19","46.68","51.43","49.68","55.71","53.65","4000","0","0","4583","4250","2600","0","0","0","0"
"雲林縣  ","114.4.19","43.25","46.38","0","51.45","47.93","3889","4125","0","4519","4147","2658","2550","0","3036","2695"
"嘉義市  ","114.4.19","43.72","0","0","52.89","50.43","3831","0","0","4409","4150","2633","2250","0","0","0"
"嘉義縣  ","114.4.19","44.07","0","0","52.46","51.38","3836","0","0","4383","4111","2627","2242","0","0","0"
"台南市  ","114.4.19","45.48","0","47.25","52.78","53.86","3726","3263","3833","4033","3917","2597","0","0","0","0"
"高雄市  ","114.4.19","44.19","0","46.6","52.49","57.44","3699","0","0","4546","5224","2500","0","0","0","0"
"屏東縣  ","114.4.19","40.92","46.02","0","50.4","51.87","3555","4152","0","4083","4089","2666","0","0","0","0"
"宜蘭縣  ","114.4.19","46.44","51.67","48.96","56.92","56.02","3722","0","4292","4750","4625","2259","0","0","0","0"
"花蓮縣  ","114.4.19","49.73","0","0","56.98","58","4417","0","0","5025","5099","2620","0","0","0","0"
"台東縣  ","114.4.19","59.3","0","0","64.87","61.55","4635","0","0","5281","5500","2617","0","0","2820","0"
"澎湖縣  ","114.4.19","44.28","0","0","58.89","58.89","3986","0","0","0","0","0","0","0","0","0"
"基隆市  ","114.4.18","50.48","53.96","0","62.74","60.83","4347","4833","0","5222","5000","0","0","0","0","0"
"台北市  ","114.4.18","52.22","57.62","59.17","64.26","60.37","4380","4531","4804","5278","4968","0","0","0","0","0"
"新北市  ","114.4.18","48.8","53.75","52.41","57.41","55.52","4324","4528","4648","5074","4820","0","0","0","0","0"
"桃園市  ","114.4.18","42.96","47.5","48.33","53.54","49.9","3805","4167","4313","4729","4292","2514","0","0","0","0"
"新竹市  ","114.4.18","45.33","50.83","0","54.67","52.78","4031","4345","0","4691","4400","0","0","0","0","0"
"新竹縣  ","114.4.18","44.58","48","0","53.33","52.33","3952","4217","0","4792","4317","2533","0","0","0","0"
"苗栗縣  ","114.4.18","43.64","0","0","53.48","54.5","3917","0","0","4833","4778","2508","0","0","0","0"
"台中市  ","114.4.18","46.62","52.86","50","55.26","54.22","3988","4400","4603","4826","4607","2532","0","0","0","0"
"彰化縣  ","114.4.18","45","48.39","48.06","51.22","49.39","3910","4178","4295","4645","4225","2643","0","2750","3087","2696"
"南投縣  ","114.4.18","46.68","51.43","49.68","55.71","53.65","4000","0","0","4583","4250","2600","0","0","0","0"
"雲林縣  ","114.4.18","43.25","46.38","0","51.45","47.93","3889","4125","0","4519","4147","2658","2550","0","3036","2695"
"嘉義市  ","114.4.18","43.72","0","0","52.89","50.43","3831","0","0","4409","4150","2633","2250","0","0","0"
"嘉義縣  ","114.4.18","44.07","0","0","52.46","51.38","3836","0","0","4383","4111","2627","2242","0","0","0"
"台南市  ","114.4.18","45.48","0","47.25","52.78","53.86","3726","3263","3833","4033","3917","2597","0","0","0","0"
"高雄市  ","114.4.18","44.19","0","46.6","52.49","57.44","3699","0","0","4546","5224","2500","0","0","0","0"
"屏東縣  ","114.4.18","40.92","46.02","0","50.4","51.87","3555","4152","0","4083","4089","2666","0","0","0","0"
"宜蘭縣  ","114.4.18","46.44","51.67","48.96","56.92","56.02","3722","0","4292","4750","4625","2259","0","0","0","0"
"花蓮縣  ","114.4.18","49.73","0","0","56.98","58","4417","0","0","5025","5099","2620","0","0","0","0"
"台東縣  ","114.4.18","59.3","0","0","64.87","61.55","4635","0","0","5281","5500","2617","0","0","2820","0"
"澎湖縣  ","114.4.18","44.28","0","0","58.89","58.89","3986","0","0","0","0","0","0","0","0","0"
"基隆市  ","114.4.17","50.48","53.96","0","62.74","60.83","4347","4833","0","5222","5000","0","0","0","0","0"
"台北市  ","114.4.17","52.22","57.62","59.17","64.26","60.37","4380","4531","4804","5278","4968","0","0","0","0","0"
"新北市  ","114.4.17","48.8","53.75","52.41","57.41","55.52","4324","4528","4648","5074","4820","0","0","0","0","0"
"桃園市  ","114.4.17","42.96","47.5","48.33","53.54","49.9","3805","4167","4313","4729","4292","2514","0","0","0","0"
"新竹市  ","114.4.17","45.33","50.83","0","54.67","52.78","4031","4345","0","4691","4400","0","0","0","0","0"
"新竹縣  ","114.4.17","44.58","48","0","53.33","52.33","3952","4217","0","4792","4317","2533","0","0","0","0"
"苗栗縣  ","114.4.17","43.64","0","0","53.48","54.5","3917","0","0","4833","4778","2508","0","0","0","0"
"台中市  ","114.4.17","46.62","52.86","50","55.26","54.22","3988","4400","4603","4826","4607","2532","0","0","0","0"
